Time,BUS10Va,BUS10Vb,BUS10Vc,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT
0.008339545,11899.11523,8500.847656,-18871.4668,0.011881753,0.008723679,-0.019132046
0.008389545,11768.03906,8822.111328,-18864.96289,0.011735263,0.009039512,-0.019122932
0.008439545,11634.98731,9139.880859,-18850.9082,0.011584945,0.00935412,-0.01910981
0.008489545,11499.51074,9453.816406,-18829.72656,0.011429974,0.009666904,-0.019093538
0.008539545,11361.08594,9763.689453,-18802.01953,0.011269561,0.009977153,-0.01907496
0.008589545,11219.15625,10069.38184,-18768.52734,0.011103033,0.010284098,-0.019054823
0.008639545,11073.17871,10370.87598,-18730.08594,0.010929913,0.010586976,-0.019033717
0.008689545,10922.66211,10668.23828,-18687.58594,0.010749975,0.010885082,-0.019012004
0.008739545,10767.21875,10961.60156,-18641.91406,0.010563298,0.011177832,-0.018989777
0.008789545,10606.59766,11251.13574,-18593.9043,0.01037028,0.011464805,-0.018966839
0.008839545,10440.70996,11537.02441,-18544.2832,0.010171636,0.011745775,-0.018942693
0.008889545,10269.65332,11819.43359,-18493.63672,0.009968365,0.012020724,-0.018916573
0.008939545,10093.70606,12098.48731,-18442.36133,0.00976169,0.01228984,-0.01888749
0.008989545,9913.318359,12374.24609,-18390.6582,0.009552983,0.012553487,-0.01885429
0.009039545,9729.092773,12646.68457,-18338.50586,0.009343665,0.012812172,-0.018815743
0.009089545,9541.739258,12915.68262,-18285.67969,0.00913511,0.013066489,-0.018770622
0.009139545,9352.035156,13181.01953,-18231.75,0.008928539,0.013317062,-0.018717801
0.009189545,9160.775391,13442.38281,-18176.11523,0.00872493,0.013564478,-0.018656332
0.009239545,8968.714844,13699.37891,-18118.03906,0.008524943,0.013809236,-0.018585514
0.009289545,8776.523438,13951.55273,-18056.68164,0.008328871,0.014051698,-0.018504942
0.009339545,8584.740234,14198.41895,-17991.15234,0.008136612,0.014292049,-0.018414535
0.009389545,8393.741211,14439.49414,-17920.55273,0.007947687,0.014530285,-0.018314537
0.009439545,8203.716797,14674.32715,-17844.02148,0.007761266,0.014766211,-0.018205486
0.009489545,8014.664551,14902.54199,-17760.77148,0.007576244,0.014999459,-0.018088177
0.009539545,7826.396973,15123.86231,-17670.13086,0.007391325,0.015229529,-0.017963579
0.009589545,7638.559082,15338.14551,-17571.56055,0.007205124,0.015455827,-0.017832762
0.009639545,7450.663086,15545.39551,-17464.68359,0.007016281,0.015677731,-0.017696809
0.009689545,7262.128906,15745.78125,-17349.2832,0.006823559,0.015894651,-0.017556727
0.009739545,7072.332031,15939.62891,-17225.31055,0.006625947,0.016106071,-0.017413378
0.009789545,6880.650879,16127.41992,-17092.875,0.006422732,0.016311619,-0.0172674
0.009839545,6686.518066,16309.76367,-16952.23047,0.006213546,0.016511086,-0.017119188
0.009889545,6489.458984,16487.375,-16803.74805,0.005998393,0.016704457,-0.016968854
0.009939545,6289.128906,16661.0332,-16647.89648,0.005777633,0.016891908,-0.016816249
0.009989545,6085.334961,16831.54297,-16485.21875,0.005551946,0.017073795,-0.016660992
0.010039545,5878.04541,16999.68359,-16316.29395,0.005322266,0.01725062,-0.016502516
0.010089545,5667.38916,17166.17969,-16141.7207,0.005089697,0.017422991,-0.016340142
0.010139545,5453.641113,17331.64258,-15962.08594,0.004855414,0.01759156,-0.016173152
0.010189545,5237.196777,17496.55273,-15777.94629,0.004620564,0.017756972,-0.016000869
0.010239545,5018.536621,17661.21875,-15589.8125,0.00438617,0.017919797,-0.015822737
0.010289545,4798.189941,17825.77148,-15398.13477,0.00415305,0.018080493,-0.015638381
0.010339545,4576.693848,17990.15234,-15203.29981,0.00392175,0.018239351,-0.015447655
0.010389545,4354.551758,18154.11523,-15005.62402,0.003692513,0.018396476,-0.015250664
0.010439545,4132.200195,18317.25586,-14805.35547,0.003465268,0.018551774,-0.015047774
0.010489545,3909.980957,18479.01758,-14602.68164,0.003239651,0.018704966,-0.014839581
0.010539545,3688.122803,18638.74219,-14397.73242,0.003015045,0.018855603,-0.014626877
0.010589545,3466.734375,18795.69336,-14190.59082,0.002790656,0.019003114,-0.014410582
0.010639545,3245.806885,18949.10938,-13981.30566,0.002565591,0.019146843,-0.014191677
0.010689545,3025.226074,19098.23633,-13769.89453,0.002338947,0.019286117,-0.013971125
0.010739545,2804.79419,19242.36719,-13556.36133,0.002109902,0.01942029,-0.013749794
0.010789545,2584.255859,19380.87891,-13340.7002,0.001877799,0.019548804,-0.013528388
0.010839545,2363.328613,19513.25586,-13122.90332,0.001642205,0.019671217,-0.013307397
0.010889545,2141.733154,19639.09961,-12902.96973,0.001402959,0.019787248,-0.013087058
0.010939545,1919.221436,19758.15234,-12680.90918,0.00116019,0.019896783,-0.012867342
0.010989545,1695.599976,19870.2832,-12456.74121,0.000914306,0.019999871,-0.012647964
0.011039545,1470.746582,19975.47852,-12230.50195,0.000665967,0.020096719,-0.012428416
0.011089545,1244.618652,20073.83789,-12002.24414,0.000416023,0.020187652,-0.012208013
0.011139545,1017.255127,20165.5332,-11772.03027,0.000165446,0.020273075,-0.011985962
0.011189545,788.7684937,20250.80078,-11539.93555,-8.48e-05,0.020353429,-0.01176143
0.011239545,559.331665,20329.90234,-11306.04004,-0.000333618,0.020429138,-0.01153362
0.011289545,329.1598816,20403.10352,-11070.42773,-0.000580306,0.020500574,-0.011301843
0.011339545,98.48882294,20470.6582,-10833.17871,-0.000824175,0.020568006,-0.011065574
0.011389545,-132.4468231,20532.78125,-10594.36621,-0.00106483,0.02063158,-0.010824501
0.011439545,-363.4338074,20589.63867,-10354.04981,-0.001302144,0.0206913,-0.01057854
0.011489545,-594.296936,20641.35156,-10112.26953,-0.001536268,0.020747032,-0.010327852
0.011539545,-824.9108887,20687.98438,-9869.045898,-0.001767608,0.020798516,-0.01007282
0.011589545,-1055.205689,20729.55664,-9624.375977,-0.001996784,0.020845383,-0.009814013
0.011639545,-1285.166138,20766.05078,-9378.229492,-0.002224568,0.020887198,-0.009552138
0.011689545,-1514.824951,20797.42969,-9130.556641,-0.002451815,0.020923499,-0.009287982
0.011739545,-1744.251099,20823.64258,-8881.283203,-0.002679381,0.020953834,-0.009022345
0.011789545,-1973.534058,20844.64648,-8630.320313,-0.002908048,0.020977806,-0.00875597
0.011839545,-2202.765625,20860.41406,-8377.571289,-0.003138456,0.020995108,-0.008489493
0.011889545,-2432.021973,20870.93945,-8122.932617,-0.003371041,0.02100555,-0.008223392
0.011939545,-2661.347412,20876.25195,-7866.309082,-0.003606003,0.021009073,-0.007957954
0.011989545,-2890.739746,20876.41016,-7607.616699,-0.003843287,0.02100575,-0.007693259
0.012039545,-3120.141846,20871.5,-7346.791504,-0.004082583,0.020995785,-0.007429185
0.012089545,-3349.437744,20861.62695,-7083.796875,-0.004323358,0.020979483,-0.007165424
0.012139545,-3578.453369,20846.91016,-6818.625,-0.004564892,0.020957237,-0.006901519
0.012189545,-3806.964111,20827.46484,-6551.301758,-0.004806339,0.020929482,-0.006636903
0.012239545,-4034.706299,20803.39648,-6281.883789,-0.005046789,0.02089666,-0.006370957
0.012289545,-4261.392578,20774.78516,-6010.458496,-0.005285337,0.020859191,-0.006103058
0.012339545,-4486.728516,20741.68164,-5737.138184,-0.005521148,0.020817434,-0.005832631
0.012389545,-4710.432129,20704.08789,-5462.05127,-0.005753512,0.020771667,-0.005559193
0.012439545,-4932.248047,20661.97266,-5185.337402,-0.00598189,0.020722071,-0.005282386
0.012489545,-5151.964844,20615.25781,-4907.134277,-0.006205941,0.02066871,-0.005002001
0.012539545,-5369.424805,20563.82422,-4627.571777,-0.006425534,0.020611553,-0.004717985
0.012589545,-5584.528809,20507.53125,-4346.759766,-0.006640744,0.020550467,-0.004430433
0.012639545,-5797.239258,20446.21094,-4064.783936,-0.006851828,0.020485248,-0.004139575
0.012689545,-6007.577637,20379.69141,-3781.698242,-0.007059195,0.020415632,-0.003845752
0.012739545,-6215.61377,20307.80859,-3497.523682,-0.007263359,0.020341337,-0.003549379
0.012789545,-6421.459961,20230.41602,-3212.248535,-0.007464896,0.020262074,-0.003250915
0.012839545,-6625.254395,20147.39648,-2925.832275,-0.007664392,0.020177584,-0.002950829
0.012889545,-6827.149414,20058.67188,-2638.212402,-0.0078624,0.020087661,-0.002649569
0.012939545,-7027.296387,19964.21484,-2349.314941,-0.008059399,0.019992162,-0.002347539
0.012989545,-7225.837402,19864.04297,-2059.064941,-0.008255765,0.019891027,-0.002045079
0.013039545,-7422.89209,19758.23242,-1767.400024,-0.008451748,0.019784285,-0.001742457
0.013089545,-7618.55127,19646.90039,-1474.282837,-0.008647463,0.019672049,-0.001439863
0.013139545,-7812.873535,19530.2168,-1179.711304,-0.008842885,0.019554518,-0.001137407
0.013189545,-8005.881836,19408.38867,-883.727356,-0.009037851,0.019431956,-0.00083513
0.013239545,-8197.561523,19281.65234,-586.420105,-0.009232084,0.019304682,-0.000533002
0.013289545,-8387.863281,19150.26953,-287.9261169,-0.0094252,0.019173052,-0.000230942
0.013339545,-8576.700195,19014.51563,11.57573128,-0.009616741,0.019037427,7.12e-05
0.013389545,-8763.957031,18874.66992,311.8730164,-0.009806204,0.018898159,0.000373507
0.013439545,-8949.484375,18731.00977,612.7312622,-0.009993071,0.018755557,0.000676211
0.013489545,-9133.111328,18583.80078,913.9065552,-0.010176849,0.018609874,0.000979441
0.013539545,-9314.646484,18433.28125,1215.158447,-0.010357097,0.018461281,0.001283316
0.013589545,-9493.884766,18279.66211,1516.260742,-0.010533464,0.01830985,0.001587908
0.013639545,-9670.621094,18123.11133,1817.009766,-0.010705706,0.018155554,0.001893219
0.013689545,-9844.65625,17963.74414,2117.229981,-0.010873707,0.01799825,0.002199173
0.013739545,-10015.80762,17801.61133,2416.775391,-0.011037482,0.017837694,0.002505606
0.013789545,-10183.92383,17636.6875,2715.527832,-0.011197178,0.017673548,0.002812271
0.013839545,-10348.88867,17468.87891,3013.395508,-0.011353055,0.017505398,0.003118846
0.013889545,-10510.63086,17298.00586,3310.306397,-0.011505463,0.017332777,0.003424943
0.013939545,-10669.12207,17123.82227,3606.205322,-0.011654814,0.0171552,0.00373014
